INDEX_NR
INCIDENT_DATE,INCIDENT_MONTH,INCIDENT_YEAR,TIME,TIME_OF_DAY,AIRPORT_ID,AIRPORT,OPID,OPERATOR,REG,FLT,AIRCRAFT,AMA,AMO,EMA,EMO,AC_CLASS,AC_MASS,TYPE_ENG,NUM_ENGS,ENG_1_POS,ENG_2_POS,ENG_3_POS,ENG_4_POS,PHASE_OF_FLIGHT,HEIGHT,SPEED,DISTANCE,SKY,PRECIPITATION,AOS,INGESTED_OTHER,INDICATED_DAMAGE,DAMAGE_LEVEL,SPECIES_ID,SPECIES,OUT_OF_RANGE_SPECIES,REMAINS_COLLECTED,REMAINS_SENT,WARNED,NUM_SEEN,NUM_STRUCK,SIZE,PERSON
1540759,03/01/2024,1,2024,15:01,Day,KMIA,MIAMI INTL,UAL,UNITED AIRLINES,N37263,1857,B-737-800,148,43,10,1,A  ,4,D,2,1,1,,,Approach,1300,,3,Some Cloud,,,0,0,N,UNKB,Unknown bird,0,0,0,Unknown,,1,,Tower
1546000,14/01/2024,1,2024,10:20,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N844NN,1154,B-737-800,148,43,10,1,A  ,4,D,2,1,1,,,Approach,100,155,1,No Cloud,None,0,25,0,0,N,UNKBS,Unknown bird - small,0,0,0,Yes,1,1,Small,Pilot
1546003,02/02/2024,2,2024,17:30,Night,KMIA,MIAMI INTL,ENY,ENVOY AIR,N271NN,3492,EMB-170,332,,22,4,A  ,4,D,2,1,1,,,Approach,2000,180,10,No Cloud,,0,1,0,0,N,UNKBM,Unknown bird - medium,0,0,0,No,1,1,Medium,Pilot
1546004,07/02/2024,2,2024,14:29,Day,KMIA,MIAMI INTL,LCO,LAN CARGO COLUMBIA,N568LA,,B-767-300,148,97,22,7,A  ,4,D,2,1,1,,,Approach,400,160,1,Some Cloud,,,0,0,N,UNKBS,Unknown bird - small,0,0,0,Unknown,02-oct,1,Small,Airport Operations
1546068,09/02/2024,2,2024,16:30,Day,KMIA,MIAMI INTL,ENY,ENVOY AIR,N450YX,3989,EMB-170,332,,22,4,A  ,4,D,2,1,1,,,Approach,,,,Overcast,None,,0,0,N,UNKB,Unknown bird,0,0,0,Unknown,,1,,Pilot
1546069,12/02/2024,2,2024,16:00,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N301NW,819,B-737-800,148,43,10,1,A  ,4,D,2,1,1,,,Approach,500,145,1,No Cloud,None,,0,0,N,K1,New World vultures,0,0,0,No,02-oct,02-oct,Large,Pilot
1546071,20/02/2024,2,2024,12:01,Day,KMIA,MIAMI INTL,TPA,AVIANCA CARGO,N335QT,4200,A-330,04A,4,37,,A  ,4,D,2,1,1,,,Approach,1000,,3,4,No Cloud,,,0,0,N,UNKB,Unknown bird,0,0,0,Unknown,1,1,,Air Transport Operations
1546073,12/03/2024,3,2024,08:40,Day,KMIA,MIAMI INTL,ENY,ENVOY AIR,N284JN,3395,EMB-170,332,,22,4,A  ,4,D,2,1,1,,,Approach,500,120,1,5,No Cloud,None,,0,0,N,UNKB,Unknown bird,0,0,0,No,,1,,Other
1546077,19/03/2024,3,2024,12:00,Day,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N854NN,318,B-737-800,148,43,10,1,A  ,4,D,2,1,1,,,Take-off Run,0,120,0,Some Cloud,None,,0,0,N,K5114,American kestrel,0,1,0,No,1,1,Small,Pilot
1546078,06/04/2024,4,2024,21:30,Night,KMIA,MIAMI INTL,AAL,AMERICAN AIRLINES,N965AN,1389,B-737-800,148,43,10,1,A  ,4,D,2,1,1,,,Climb,4100,,7,7,,,,0,0,N,I1110,Green heron,0,1,1,Unknown,,1,Small,Airport Operations
